,Site,Measurement,DateTime,Value,detection limit,censored
954,SQ10814,Nitrate-N Nitrite-N,2016-01-20 08:54:00,0.004,0.005,<
2365,SQ30162,Nitrate-N Nitrite-N,2016-10-05 12:58:00,0.003,0.005,<
3167,SQ33056,Nitrate-N Nitrite-N,2015-01-07 10:27:00,0.002,0.005,<
3628,SQ33899,Nitrate-N Nitrite-N,2017-01-31 09:25:00,0.003,0.005,<
56,SQ10005,Total Nitrogen,2015-04-15 11:01:00,0.037,0.08,<
242,SQ10057,Total Nitrogen,2015-10-14 09:31:00,0.068,0.08,<
244,SQ10057,Total Nitrogen,2016-04-14 10:21:00,0.06,0.08,<
245,SQ10057,Total Nitrogen,2016-07-12 10:28:00,0.058,0.08,<
247,SQ10057,Total Nitrogen,2017-01-20 08:59:00,0.064,0.08,<
252,SQ10057,Total Nitrogen,2018-04-12 11:03:00,0.078,0.08,<
255,SQ10057,Total Nitrogen,2019-04-03 10:00:00,0.063,0.08,<
256,SQ10057,Total Nitrogen,2019-07-10 11:09:00,0.071,0.08,<
363,SQ10167,Total Nitrogen,2013-01-23 10:02:00,0.037,0.08,<
367,SQ10167,Total Nitrogen,2013-08-26 13:15:00,0.044,0.08,<
368,SQ10167,Total Nitrogen,2013-09-19 11:30:00,0.039,0.08,<
369,SQ10167,Total Nitrogen,2013-10-17 10:35:00,0.064,0.08,<
370,SQ10167,Total Nitrogen,2013-11-12 10:25:00,0.048,0.08,<
371,SQ10167,Total Nitrogen,2013-12-04 10:20:00,0.05,0.08,<
372,SQ10167,Total Nitrogen,2014-01-16 10:10:00,0.051,0.08,<
373,SQ10167,Total Nitrogen,2014-02-14 10:15:00,0.036,0.08,<
374,SQ10167,Total Nitrogen,2014-03-12 10:00:00,0.039,0.08,<
378,SQ10167,Total Nitrogen,2014-07-15 10:12:00,0.062,0.08,<
379,SQ10167,Total Nitrogen,2014-08-12 10:24:00,0.072,0.08,<
380,SQ10167,Total Nitrogen,2014-09-25 11:27:00,0.04,0.08,<
381,SQ10167,Total Nitrogen,2014-10-15 10:40:00,0.041,0.08,<
382,SQ10167,Total Nitrogen,2015-04-22 11:33:00,0.053,0.08,<
383,SQ10167,Total Nitrogen,2015-05-18 11:17:00,0.033,0.08,<
384,SQ10167,Total Nitrogen,2015-06-15 11:30:00,0.068,0.08,<
385,SQ10167,Total Nitrogen,2015-07-16 12:00:00,0.055,0.08,<
386,SQ10167,Total Nitrogen,2015-08-11 11:32:00,0.035,0.08,<
387,SQ10167,Total Nitrogen,2015-09-11 11:35:00,0.047,0.08,<
388,SQ10167,Total Nitrogen,2015-10-14 10:36:00,0.034,0.08,<
389,SQ10167,Total Nitrogen,2016-01-20 10:28:00,0.04,0.08,<
390,SQ10167,Total Nitrogen,2016-06-08 11:21:00,0.079,0.08,<
391,SQ10167,Total Nitrogen,2016-07-12 11:47:00,0.075,0.08,<
392,SQ10167,Total Nitrogen,2016-08-10 11:20:00,0.077,0.08,<
393,SQ10167,Total Nitrogen,2016-09-09 11:14:00,0.04,0.08,<
394,SQ10167,Total Nitrogen,2016-10-11 10:28:00,0.034,0.08,<
395,SQ10167,Total Nitrogen,2016-11-09 10:21:00,0.048,0.08,<
396,SQ10167,Total Nitrogen,2016-12-12 10:21:00,0.043,0.08,<
397,SQ10167,Total Nitrogen,2017-01-20 10:25:00,0.037,0.08,<
398,SQ10167,Total Nitrogen,2017-03-21 10:33:00,0.025,0.08,<
400,SQ10167,Total Nitrogen,2017-05-16 12:24:00,0.026,0.08,<
401,SQ10167,Total Nitrogen,2017-06-12 12:28:00,0.033,0.08,<
402,SQ10167,Total Nitrogen,2017-07-11 12:05:00,0.076,0.08,<
404,SQ10167,Total Nitrogen,2017-09-13 11:04:00,0.022,0.08,<
405,SQ10167,Total Nitrogen,2017-10-10 09:46:00,0.051,0.08,<
406,SQ10167,Total Nitrogen,2017-11-09 10:44:00,0.043,0.08,<
409,SQ10167,Total Nitrogen,2018-04-12 12:20:00,0.032,0.08,<
410,SQ10167,Total Nitrogen,2018-05-18 11:52:00,0.047,0.08,<
411,SQ10167,Total Nitrogen,2018-06-19 11:49:00,0.066,0.08,<
412,SQ10167,Total Nitrogen,2018-07-11 11:52:00,0.064,0.08,<
413,SQ10167,Total Nitrogen,2018-08-08 11:27:00,0.023,0.08,<
414,SQ10167,Total Nitrogen,2018-09-12 11:32:00,0.037,0.08,<
415,SQ10167,Total Nitrogen,2018-10-17 10:28:00,0.034,0.08,<
418,SQ10167,Total Nitrogen,2019-01-11 11:03:00,0.049,0.08,<
419,SQ10167,Total Nitrogen,2019-02-08 11:19:00,0.044,0.08,<
420,SQ10167,Total Nitrogen,2019-04-03 11:38:00,0.029,0.08,<
421,SQ10167,Total Nitrogen,2019-05-16 11:47:00,0.04,0.08,<
422,SQ10167,Total Nitrogen,2019-06-12 11:51:00,0.066,0.08,<
423,SQ10167,Total Nitrogen,2019-07-10 12:21:00,0.043,0.08,<
424,SQ10167,Total Nitrogen,2019-08-08 11:53:00,0.058,0.08,<
425,SQ10167,Total Nitrogen,2019-09-09 12:02:00,0.047,0.08,<
427,SQ10167,Total Nitrogen,2019-11-13 10:55:00,0.076,0.08,<
428,SQ10167,Total Nitrogen,2019-12-16 11:24:00,0.035,0.08,<
573,SQ10301,Total Nitrogen,2013-01-22 11:55:00,0.049,0.08,<
575,SQ10301,Total Nitrogen,2013-05-28 10:45:00,0.044,0.08,<
578,SQ10301,Total Nitrogen,2013-08-28 13:13:00,0.037,0.08,<
579,SQ10301,Total Nitrogen,2013-09-26 13:50:00,0.036,0.08,<
580,SQ10301,Total Nitrogen,2013-10-23 08:10:00,0.045,0.08,<
581,SQ10301,Total Nitrogen,2013-11-20 10:50:00,0.043,0.08,<
582,SQ10301,Total Nitrogen,2013-12-17 11:05:00,0.044,0.08,<
583,SQ10301,Total Nitrogen,2014-01-21 07:50:00,0.04,0.08,<
