,Site,Measurement,DateTime,Value,IQR*4 + Q3
256,SQ10037,Nitrate-N Nitrite-N,2008-07-21 12:19:00,0.71,0.676
257,SQ10037,Nitrate-N Nitrite-N,2008-10-21 12:23:00,1.2,0.676
294,SQ10037,Nitrate-N Nitrite-N,2014-11-25 08:40:00,0.74,0.676
358,SQ10057,Nitrate-N Nitrite-N,2006-07-12 11:05:00,0.38,0.154
368,SQ10057,Nitrate-N Nitrite-N,2009-07-21 10:28:00,0.29,0.154
371,SQ10057,Nitrate-N Nitrite-N,2010-07-20 11:11:00,0.18,0.154
381,SQ10057,Nitrate-N Nitrite-N,2013-07-18 10:28:00,0.38,0.154
810,SQ10275,Nitrate-N Nitrite-N,2015-07-21 11:45:00,0.34,0.20299999999999999
871,SQ10301,Nitrate-N Nitrite-N,2010-10-18 13:53:00,0.12,0.032999999999999995
886,SQ10301,Nitrate-N Nitrite-N,2015-04-15 11:37:00,0.189,0.032999999999999995
938,SQ10804,Nitrate-N Nitrite-N,2015-07-21 13:42:00,0.67,0.44699999999999995
1010,SQ10814,Nitrate-N Nitrite-N,2006-07-12 10:55:00,0.8,0.365
1020,SQ10814,Nitrate-N Nitrite-N,2009-07-21 10:14:00,2.0,0.365
1024,SQ10814,Nitrate-N Nitrite-N,2010-07-20 11:00:00,2.0,0.365
1037,SQ10814,Nitrate-N Nitrite-N,2013-06-10 11:08:00,0.52,0.365
1038,SQ10814,Nitrate-N Nitrite-N,2013-07-18 09:41:00,1.12,0.365
1087,SQ10814,Nitrate-N Nitrite-N,2017-08-09 09:49:00,0.46,0.365
1118,SQ10818,Nitrate-N Nitrite-N,2005-02-15 12:00:00,9.7,2.569
1125,SQ10818,Nitrate-N Nitrite-N,2006-07-12 11:40:00,2.9,2.569
1153,SQ10818,Nitrate-N Nitrite-N,2013-07-18 09:48:00,2.8,2.569
1181,SQ10818,Nitrate-N Nitrite-N,2016-08-10 10:31:00,3.2,2.569
1193,SQ10818,Nitrate-N Nitrite-N,2017-08-09 10:24:00,3.3,2.569
1209,SQ10818,Nitrate-N Nitrite-N,2018-12-11 09:56:00,5.8,2.569
1493,SQ20112,Nitrate-N Nitrite-N,2004-08-17 11:00:00,0.71,0.21599999999999997
1495,SQ20112,Nitrate-N Nitrite-N,2005-02-14 10:20:00,0.61,0.21599999999999997
1735,SQ20176,Nitrate-N Nitrite-N,2006-11-28 11:20:00,4.4,0.83
1746,SQ20176,Nitrate-N Nitrite-N,2009-08-11 10:40:00,0.88,0.83
1749,SQ20176,Nitrate-N Nitrite-N,2010-05-11 10:24:00,0.97,0.83
1750,SQ20176,Nitrate-N Nitrite-N,2010-08-16 10:35:00,1.2,0.83
1826,SQ20177,Nitrate-N Nitrite-N,2012-08-15 11:00:00,0.34,0.279
1833,SQ20177,Nitrate-N Nitrite-N,2013-07-03 10:10:00,0.3,0.279
1882,SQ20177,Nitrate-N Nitrite-N,2017-08-02 12:27:00,0.32,0.279
2501,SQ20332,Nitrate-N Nitrite-N,2004-12-13 12:45:00,1.2,0.786
2503,SQ20332,Nitrate-N Nitrite-N,2005-06-13 14:25:00,1.6,0.786
3493,SQ20577,Nitrate-N Nitrite-N,2009-07-07 13:09:00,0.59,0.583
3529,SQ20577,Nitrate-N Nitrite-N,2016-07-06 11:01:00,0.64,0.583
3804,SQ20785,Nitrate-N Nitrite-N,2015-07-21 09:50:00,0.131,0.124
3882,SQ21044,Nitrate-N Nitrite-N,2012-08-22 13:15:00,2.8,2.79
4026,SQ21046,Nitrate-N Nitrite-N,2012-08-22 13:36:00,3.8,3.508
4952,SQ21292,Nitrate-N Nitrite-N,2013-08-08 09:35:00,2.4,2.25
5365,SQ22030,Nitrate-N Nitrite-N,2006-06-27 09:20:00,1.1,0.666
5366,SQ22030,Nitrate-N Nitrite-N,2006-07-03 11:45:00,0.81,0.666
5409,SQ22030,Nitrate-N Nitrite-N,2014-06-11 12:05:00,1.25,0.666
5447,SQ22030,Nitrate-N Nitrite-N,2017-08-03 14:01:00,0.72,0.666
5663,SQ26368,Nitrate-N Nitrite-N,2006-07-11 10:45:00,0.058,0.05
5719,SQ26369,Nitrate-N Nitrite-N,2007-10-09 09:50:00,0.22,0.048999999999999995
6911,SQ30369,Nitrate-N Nitrite-N,2008-08-28 09:55:00,2.8,2.5700000000000003
8231,SQ30953,Nitrate-N Nitrite-N,2017-09-22 09:20:00,1.02,0.938
8232,SQ30953,Nitrate-N Nitrite-N,2017-10-24 13:10:00,1.55,0.938
8257,SQ30954,Nitrate-N Nitrite-N,2017-07-25 10:57:00,0.53,0.45699999999999996
8258,SQ30954,Nitrate-N Nitrite-N,2017-08-22 10:15:00,0.54,0.45699999999999996
8259,SQ30954,Nitrate-N Nitrite-N,2017-09-22 08:10:00,0.68,0.45699999999999996
8269,SQ30954,Nitrate-N Nitrite-N,2019-07-22 13:10:00,0.69,0.45699999999999996
9732,SQ33147,Nitrate-N Nitrite-N,2017-04-10 14:10:00,0.26,0.235
9742,SQ33147,Nitrate-N Nitrite-N,2018-07-03 09:48:00,0.25,0.235
