Site,Measurement,total count,DTL count,start date,end date,min,Q1,median,mean,Q3,max,standard deviation
SQ10005,Nitrate-N Nitrite-N,114,1.0,2005-11-16 10:20:00,2019-12-13 09:41:00,0.005,0.18,0.23,0.252,0.29,0.7,0.117
SQ10012,Nitrate-N Nitrite-N,130,1.0,2004-12-15 09:40:00,2019-12-13 07:30:00,0.009,0.52,0.74,0.711,0.95,1.43,0.311
SQ10037,Nitrate-N Nitrite-N,117,5.0,2004-12-15 11:00:00,2019-12-13 07:50:00,0.003,0.026,0.08,0.138,0.156,1.2,0.184
SQ10057,Nitrate-N Nitrite-N,56,11.0,2005-07-11 12:30:00,2019-10-23 09:55:00,0.002,0.009,0.019,0.049,0.038,0.38,0.088
SQ10160,Nitrate-N Nitrite-N,114,1.0,2005-12-20 10:40:00,2019-12-16 12:28:00,0.021,0.081,0.142,0.162,0.199,0.57,0.103
SQ10167,Nitrate-N Nitrite-N,92,20.0,2006-02-28 11:35:00,2019-12-16 11:24:00,0.002,0.012,0.02,0.027,0.037,0.095,0.02
SQ10174,Nitrate-N Nitrite-N,114,,2005-11-16 13:10:00,2019-12-16 08:37:00,0.21,0.913,1.16,1.471,1.938,4.1,0.847
SQ10206,Nitrate-N Nitrite-N,46,1.0,2008-07-23 11:02:00,2019-10-16 10:48:00,0.03,0.11,0.22,0.239,0.34,0.62,0.148
SQ10275,Nitrate-N Nitrite-N,128,11.0,2005-07-11 09:00:00,2019-12-12 08:52:00,0.002,0.013,0.027,0.04,0.051,0.34,0.042
SQ10301,Nitrate-N Nitrite-N,114,69.0,2006-02-28 10:30:00,2019-12-13 10:56:00,0.002,0.003,0.006,0.013,0.009,0.189,0.032
SQ10804,Nitrate-N Nitrite-N,70,23.0,2004-01-19 10:10:00,2019-10-16 12:31:00,0.003,0.017,0.046,0.096,0.103,0.67,0.131
SQ10805,Nitrate-N Nitrite-N,56,7.0,2005-10-10 10:30:00,2019-10-16 12:42:00,0.005,0.065,0.145,0.236,0.34,0.94,0.248
SQ10814,Nitrate-N Nitrite-N,117,2.0,2004-11-25 12:30:00,2019-12-16 09:38:00,0.004,0.02,0.036,0.117,0.089,2.0,0.291
SQ10818,Nitrate-N Nitrite-N,117,11.0,2004-11-25 13:15:00,2019-12-16 10:11:00,0.003,0.039,0.2,0.592,0.545,9.7,1.237
